Reading,Hour,Barometric,Capacitive,Piezoelectric,Resonant,AvgPressure,ActualPressure,PressureTrend,Humidity,WindSpeed,AnimalActivity,Status
79,6,1016.53,1027.17,1012.93,1021.43,1019.52,992.26,-0.10,70.88,21.33,0,Normal
80,7,1016.79,1027.57,1012.04,1020.79,1019.30,1007.12,-0.32,74.81,25.32,0,Normal
81,8,1016.67,1026.25,1012.37,1021.70,1019.25,1006.15,-0.37,64.79,22.22,0,Normal
82,9,1015.02,1025.31,1012.00,1020.88,1018.30,1005.39,-1.32,76.36,26.32,0,Normal
83,10,1014.39,1024.31,1009.24,1019.58,1016.88,1004.56,-2.74,79.06,25.81,0,Normal
84,11,1015.33,1024.08,1009.26,1018.80,1016.87,1004.51,-2.75,83.29,23.40,0,Normal
85,12,1013.87,1023.56,1009.14,1018.50,1016.27,1003.37,-3.36,71.80,1.92,0,Normal
86,13,1012.80,1022.45,1008.45,1017.91,1015.40,1002.66,-4.22,86.23,14.98,0,Normal
87,14,1013.11,1021.98,1007.49,1017.72,1015.07,1002.38,-4.55,80.62,2.55,0,Normal
88,15,1012.30,1022.15,1006.13,1016.38,1014.24,1002.20,-5.38,75.18,6.61,1,Possible Animal Activity
89,16,1011.81,1020.78,1006.42,1016.33,1013.83,1001.52,-5.79,80.00,11.76,1,Possible Animal Activity
90,17,1011.35,1020.53,1006.79,1017.21,1013.97,1001.63,-5.65,69.20,10.81,1,Rapid Pressure Drop
91,18,1010.32,1020.88,1007.33,1016.15,1013.67,1000.81,-5.95,73.13,0.00,1,Rapid Pressure Drop
92,19,1011.12,1021.14,1006.74,1017.04,1014.01,1001.48,-5.61,72.45,0.00,1,Rapid Pressure Drop
93,20,1012.59,1021.62,1007.22,1015.69,1014.28,1001.31,-5.34,63.36,1.25,1,Rapid Pressure Drop
94,21,1012.32,1022.07,1007.06,1016.22,1014.42,1002.32,-5.21,57.33,15.66,1,Rapid Pressure Drop
95,22,1011.11,1023.00,1007.47,1017.15,1014.69,1002.06,-4.94,68.24,8.44,0,Normal
96,23,1014.28,1022.30,1008.03,1018.79,1015.85,1002.71,-3.77,54.13,0.00,0,Normal
97,0,1014.02,1023.47,1009.08,1019.38,1016.49,1003.18,0.00,56.32,3.04,0,Normal
98,1,1014.88,1024.84,1010.38,1018.43,1017.13,1004.28,0.64,62.79,14.01,0,Normal
99,2,1014.37,1024.79,1009.23,1019.48,1016.97,1005.74,0.48,61.58,14.37,0,Normal
100,3,1016.54,1025.52,1011.23,1019.79,1018.27,1005.76,1.78,62.00,22.81,0,Normal
101,4,1016.40,1025.89,1010.33,1021.29,1018.48,1006.34,1.99,68.67,23.10,0,Normal
102,5,1017.74,1027.56,1012.60,1011.49,1017.35,1006.33,0.86,69.00,23.08,0,Normal
103,6,1016.47,1026.46,1011.16,1022.27,1019.09,1007.43,2.60,69.85,14.45,0,Normal
104,7,1017.63,1028.33,1013.68,1022.31,1020.49,1007.26,4.00,69.97,9.14,0,Normal
105,8,1018.36,1027.48,1012.32,1022.99,1020.29,1007.53,3.80,64.53,5.22,0,Normal
106,9,1017.91,1026.98,1011.99,1022.87,1019.94,1007.09,3.45,69.79,16.75,0,Normal
107,10,1017.12,1028.08,1013.39,1022.90,1020.37,1007.75,3.88,75.32,23.19,0,Normal
108,11,1017.76,1027.38,1012.98,1022.24,1020.09,1007.16,3.60,73.44,25.99,0,Normal
109,12,1017.78,1027.68,1013.32,1022.54,1020.33,1007.36,3.84,71.64,14.13,0,Normal
110,13,1017.63,1024.89,1012.20,1022.52,1019.31,1006.85,2.82,70.39,8.02,0,Normal
111,14,1017.90,1027.54,1013.39,1022.31,1020.28,1007.59,3.80,71.70,11.03,0,Normal
112,15,1022.12,1026.39,1011.94,1021.64,1020.52,1007.68,4.04,68.45,6.41,0,Normal
113,16,1017.56,1028.10,1012.38,1024.17,1020.55,997.30,4.06,73.87,14.57,0,Normal
114,17,1017.70,1027.25,1012.84,1023.41,1020.30,1008.12,3.81,64.14,0.00,0,Normal
115,18,1017.32,1028.64,1010.90,1023.92,1020.19,1007.75,3.71,63.78,0.00,0,Normal
116,19,1018.89,1028.70,1014.01,1023.73,1021.33,1008.43,4.84,56.66,0.00,0,Normal
117,20,1020.21,1029.64,1014.76,1024.00,1022.15,1008.90,5.67,52.49,3.29,0,Normal
118,21,1020.69,1029.96,1016.37,1025.00,1023.01,1010.54,6.52,62.99,16.32,0,Normal
119,22,1022.23,1031.01,1015.50,1025.74,1023.62,1011.25,7.13,59.99,18.51,0,Normal
120,23,1021.62,1032.68,1018.42,1027.19,1024.98,1011.70,8.49,50.72,8.34,0,Normal
121,0,1022.87,1033.33,1019.48,1028.13,1025.95,1005.23,0.00,47.33,10.02,0,Normal
122,1,1023.08,1034.49,1020.46,1028.96,1026.75,1013.83,0.80,48.07,1.46,0,Normal
123,2,1024.81,1036.45,1019.25,1029.72,1027.56,1014.80,1.61,57.45,18.29,0,Normal
124,3,1026.87,1036.04,1022.42,1031.32,1029.16,1016.30,3.21,50.21,27.53,0,Normal
125,4,1028.25,1037.79,1022.11,1032.73,1030.22,1016.90,4.27,55.52,7.99,0,High Pressure System
126,5,1027.48,1037.52,1022.05,1032.37,1029.85,1017.76,3.90,51.63,15.90,0,Normal
127,6,1029.00,1037.95,1024.63,1033.33,1031.23,1017.78,5.28,54.72,25.53,0,High Pressure System
128,7,1027.53,1037.84,1022.90,1034.57,1030.71,1018.68,4.75,55.06,19.79,0,High Pressure System
129,8,1029.46,1038.82,1022.76,1034.17,1031.30,1019.18,5.35,67.33,5.91,0,High Pressure System
130,9,1030.21,1039.22,1024.25,1033.72,1031.85,1019.08,5.90,66.88,6.02,0,High Pressure System
131,10,1034.17,1040.11,1024.81,1035.07,1033.54,1019.41,7.59,68.32,25.04,0,High Pressure System
132,11,1029.27,1039.23,1024.27,1033.68,1031.61,1006.93,5.66,64.45,7.83,0,High Pressure System
133,12,1025.59,1039.75,1023.94,1034.45,1030.93,1019.04,4.98,62.87,18.55,0,High Pressure System
134,13,1028.69,1039.99,1024.65,1033.98,1031.83,1018.60,5.87,72.20,17.77,0,High Pressure System
135,14,1028.55,1039.68,1024.73,1034.02,1031.75,1019.08,5.79,66.36,0.00,0,High Pressure System
136,15,1028.16,1039.56,1023.33,1034.24,1031.32,1018.48,5.37,60.98,0.00,0,High Pressure System
137,16,1029.83,1039.23,1024.00,1034.74,1031.95,1019.30,6.00,57.87,9.31,0,High Pressure System
138,17,1029.18,1039.69,1024.74,1034.15,1031.94,1019.11,5.99,65.14,16.47,0,High Pressure System
139,18,1028.60,1039.74,1023.21,1034.01,1031.39,1019.66,5.44,49.98,0.00,0,High Pressure System
140,19,1029.56,1039.75,1023.76,1034.97,1032.01,1020.03,6.06,45.60,15.56,0,High Pressure System
141,20,1030.98,1040.16,1025.44,1035.98,1033.14,1019.70,7.19,51.51,17.65,0,High Pressure System
142,21,1028.28,1042.04,1026.31,1036.52,1033.29,1020.76,7.33,41.54,5.58,0,High Pressure System
143,22,1031.27,1041.61,1026.19,1037.08,1034.04,1021.10,8.09,42.78,4.38,0,High Pressure System
144,23,1032.54,1042.69,1028.09,1037.67,1035.25,1022.25,9.29,47.56,15.71,0,High Pressure System
145,0,1033.74,1043.63,1028.80,1038.35,1036.13,1022.93,0.00,35.95,12.36,0,High Pressure System
146,1,1033.13,1044.11,1028.91,1038.71,1036.22,1023.03,0.08,35.67,2.28,0,High Pressure System
147,2,1034.55,1045.36,1028.05,1039.10,1036.76,1024.20,0.63,47.75,19.30,0,High Pressure System
148,3,1033.81,1044.34,1030.52,1039.88,1037.14,1024.99,1.01,36.51,13.66,0,High Pressure System
149,4,1034.36,1045.54,1030.23,1040.41,1037.63,1025.00,1.50,43.02,23.43,0,High Pressure System
150,5,1035.86,1045.80,1030.78,1040.01,1038.11,1024.73,1.98,42.89,17.02,0,High Pressure System
151,6,1035.09,1046.33,1030.45,1040.19,1038.02,1025.32,1.88,52.14,8.72,0,High Pressure System
152,7,1036.30,1046.38,1031.21,1040.43,1038.58,1025.39,2.45,54.05,26.83,0,High Pressure System
153,8,1036.15,1045.76,1030.33,1040.66,1038.22,1024.45,2.09,59.04,25.89,0,High Pressure System
154,9,1035.32,1044.47,1028.97,1039.47,1037.06,1024.88,0.93,57.74,27.30,0,High Pressure System
155,10,1033.80,1043.73,1029.25,1039.41,1036.55,1024.04,0.42,53.13,9.96,0,High Pressure System
156,11,1033.31,1042.98,1027.83,1039.19,1035.83,1023.40,-0.30,65.61,25.87,0,High Pressure System
157,12,1033.61,1042.50,1028.56,1037.98,1035.66,1022.68,-0.47,56.49,15.79,0,High Pressure System
158,13,1031.96,1043.05,1027.29,1036.58,1034.72,1021.93,-1.41,68.04,0.00,0,High Pressure System
159,14,1032.41,1042.09,1025.91,1036.78,1034.30,1021.69,-1.83,56.33,17.97,0,High Pressure System
160,15,1030.22,1040.82,1026.35,1036.51,1033.47,1021.12,-2.66,62.27,20.95,0,High Pressure System
161,16,1029.24,1041.58,1025.39,1036.08,1033.07,1020.07,-3.06,60.04,10.61,0,High Pressure System
162,17,1030.24,1039.44,1026.16,1034.53,1032.59,1019.26,-3.54,51.67,5.63,0,High Pressure System
163,18,1029.32,1039.72,1025.85,1034.83,1032.43,1019.37,-3.70,51.89,7.15,0,High Pressure System
164,19,1030.26,1040.10,1023.03,1034.04,1031.86,1019.18,-4.28,46.83,14.41,0,High Pressure System
165,20,1027.91,1038.53,1024.83,1034.71,1031.49,1018.69,-4.64,53.70,15.30,0,High Pressure System
166,21,1029.61,1038.21,1023.16,1033.99,1031.24,1019.24,-4.89,49.45,2.06,0,High Pressure System
167,22,1029.43,1040.06,1015.80,1034.04,1029.83,1018.65,-6.30,53.20,12.38,1,Possible Animal Activity
168,23,1029.16,1038.65,1023.71,1034.97,1031.62,1019.19,-4.51,50.18,10.67,0,High Pressure System
169,0,1029.26,1038.48,1022.89,1035.02,1031.41,1019.42,0.00,40.53,9.07,0,High Pressure System
170,1,1030.56,1039.83,1024.86,1034.40,1032.41,1019.52,1.00,51.51,14.68,0,High Pressure System
171,2,1028.16,1039.30,1025.68,1034.66,1031.95,1018.77,0.54,41.88,26.85,0,High Pressure System
172,3,1029.53,1040.10,1025.02,1034.97,1032.41,1019.34,0.99,44.50,27.78,0,High Pressure System
173,4,1029.69,1040.16,1023.30,1034.51,1031.92,1024.45,0.50,49.03,10.33,0,High Pressure System
174,5,1027.89,1039.31,1023.77,1033.39,1031.09,1019.19,-0.32,57.91,10.35,0,High Pressure System
175,6,1027.97,1037.64,1024.89,1033.30,1030.95,1018.62,-0.46,53.25,25.72,0,High Pressure System
176,7,1028.07,1036.95,1023.30,1032.81,1030.28,1017.51,-1.13,62.29,12.87,0,High Pressure System
177,8,1026.65,1037.89,1022.19,1032.51,1029.81,1011.61,-1.60,65.00,10.18,0,Normal
178,9,1027.54,1036.59,1019.73,1030.97,1028.71,1015.96,-2.71,64.47,21.99,0,Normal
179,10,1024.88,1035.57,1020.65,1031.13,1028.06,1014.88,-3.35,69.85,3.31,0,Normal
180,11,1023.85,1033.81,1020.17,1030.14,1026.99,1014.43,-4.42,65.62,4.59,0,Normal
181,12,1023.20,1033.93,1018.95,1028.56,1026.16,1013.24,-5.25,74.50,3.65,1,Possible Animal Activity
182,13,1021.55,1032.49,1016.64,1027.63,1024.58,1012.68,-6.84,72.07,21.37,1,Possible Animal Activity
183,14,1020.79,1031.40,1016.56,1026.42,1023.79,1010.94,-7.62,75.03,12.27,1,Rapid Pressure Drop
184,15,1019.50,1030.35,1014.30,1026.21,1022.59,1010.18,-8.82,72.68,5.11,1,Rapid Pressure Drop
185,16,1020.26,1029.75,1014.33,1024.60,1022.24,1009.66,-9.17,69.21,18.55,1,Rapid Pressure Drop
186,17,1018.06,1028.36,1010.80,1024.01,1020.31,1008.81,-11.10,71.67,2.52,1,Rapid Pressure Drop
187,18,1018.40,1029.04,1013.20,1022.62,1020.82,1008.19,-10.60,64.48,14.14,1,Rapid Pressure Drop
188,19,1017.71,1028.51,1013.78,1022.49,1020.63,1007.76,-10.79,63.29,14.21,1,Rapid Pressure Drop
189,20,1019.03,1027.98,1012.83,1022.93,1020.69,1010.45,-10.72,58.66,16.06,1,Rapid Pressure Drop
190,21,1016.66,1026.68,1012.78,1020.55,1019.17,1007.19,-12.24,62.42,1.78,1,Rapid Pressure Drop
191,22,1017.26,1027.79,1011.35,1022.21,1019.65,1007.07,-11.76,59.51,15.39,1,Rapid Pressure Drop
192,23,1018.66,1027.95,1012.80,1022.23,1020.41,1007.13,-11.00,55.88,9.74,1,Rapid Pressure Drop
193,0,1018.02,1027.48,1012.03,1022.90,1020.11,1007.37,0.00,59.51,14.29,0,Normal
194,1,1017.96,1028.30,1012.41,1022.62,1020.32,1007.03,0.21,61.43,5.02,0,Normal
195,2,1017.92,1026.59,1014.10,1022.13,1020.18,1007.67,0.08,59.86,20.11,0,Normal
196,3,1018.18,1027.05,1012.15,1022.93,1020.08,1007.55,-0.03,54.78,14.45,0,Normal
197,4,1012.48,1027.75,1012.52,1022.75,1018.87,1007.21,-1.23,62.81,20.25,0,Normal
198,5,1017.56,1026.55,1013.10,1015.57,1018.19,1007.80,-1.92,59.28,15.27,0,Normal
199,6,1016.75,1028.04,1011.38,1022.41,1019.65,1006.84,-0.46,70.31,29.44,0,Normal
200,7,1018.12,1027.54,1012.44,1021.26,1019.84,1007.06,-0.27,65.48,11.34,0,Normal
201,8,1015.64,1026.31,1012.21,1021.48,1018.91,1006.50,-1.20,70.92,23.37,0,Normal
202,9,1016.51,1026.36,1011.58,1021.54,1018.99,1005.35,-1.11,71.84,24.08,0,Normal
203,10,1015.18,1023.18,1010.94,1019.91,1017.31,995.06,-2.80,71.49,10.42,0,Normal
204,11,1000.09,1025.13,1006.89,1019.52,1012.91,1004.60,-7.20,88.51,9.26,1,Possible Animal Activity
205,12,1013.85,1024.12,1009.52,1019.58,1016.77,1003.66,-3.34,85.58,8.10,0,Normal
206,13,1012.93,1022.29,1008.17,1018.30,1015.42,1002.95,-4.68,82.52,5.49,0,Normal
207,14,1011.54,1022.26,1008.13,1018.08,1015.00,1002.49,-5.11,77.83,2.50,1,Possible Animal Activity
208,15,1010.89,1021.50,1008.37,1016.81,1014.39,1001.85,-5.71,79.19,10.39,1,Possible Animal Activity
209,16,1011.77,1022.21,1005.31,1017.18,1014.12,1001.38,-5.99,82.77,16.26,1,Rapid Pressure Drop
210,17,1010.90,1021.14,1006.44,1015.84,1013.58,1001.30,-6.53,77.42,0.00,1,Rapid Pressure Drop
211,18,1010.38,1022.03,1007.91,1015.74,1014.01,1000.87,-6.09,74.07,18.06,1,Rapid Pressure Drop
212,19,1011.99,1020.79,1006.57,1016.35,1013.92,1001.50,-6.18,66.41,7.86,1,Rapid Pressure Drop
213,20,1012.60,1021.38,1006.20,1016.86,1014.26,1001.82,-5.85,58.40,14.57,1,Rapid Pressure Drop
214,21,1012.52,1022.21,1006.95,1016.50,1014.54,1001.91,-5.57,69.42,13.72,1,Rapid Pressure Drop
215,22,1012.94,1021.93,1006.92,1017.74,1014.88,1002.33,-5.23,59.38,0.36,1,Rapid Pressure Drop
216,23,1012.83,1022.90,1011.64,1017.79,1016.29,1004.27,-3.82,58.15,22.31,0,Normal
217,0,1013.10,1023.72,1008.79,1018.61,1016.06,1003.55,0.00,55.48,2.82,0,Normal
218,1,1013.62,1024.53,1008.56,1019.18,1016.47,1004.38,0.42,58.90,17.18,0,Normal
219,2,1016.09,1024.35,1011.18,1020.39,1018.00,1005.00,1.95,62.76,23.42,0,Normal
220,3,1014.60,1026.25,1010.97,1020.24,1018.01,1005.56,1.96,56.21,18.69,0,Normal
221,4,1016.70,1027.11,1012.66,1021.04,1019.38,1006.52,3.32,62.70,4.89,0,Normal
222,5,1016.72,1026.57,1012.30,1021.72,1019.33,1006.78,3.27,61.39,29.29,0,Normal
223,6,1018.22,1027.03,1012.02,1022.01,1019.82,1006.80,3.76,70.19,25.18,0,Normal
224,7,1018.31,1028.06,1000.61,1022.82,1017.45,1007.73,1.39,69.39,20.03,0,Normal
225,8,1018.18,1028.21,1012.35,1022.92,1020.42,1007.96,4.36,77.68,10.57,0,Normal
226,9,1018.08,1027.83,1013.26,1022.40,1020.39,1007.80,4.34,70.81,16.66,0,Normal
227,10,1017.20,1027.83,1012.69,1023.30,1020.26,1007.69,4.20,78.20,16.52,0,Normal
228,11,1014.47,1027.42,1013.40,1022.42,1019.43,1007.67,3.37,77.77,16.81,0,Normal
229,12,1017.98,1027.54,1013.51,1022.62,1020.41,1007.49,4.36,71.33,23.84,0,Normal
230,13,1016.97,1027.89,1013.49,1021.94,1020.07,1007.22,4.02,69.60,23.46,0,Normal
231,14,1017.08,1026.50,1013.17,1023.02,1019.94,1007.73,3.89,68.50,0.00,0,Normal
232,15,1017.71,1028.73,1012.09,1022.01,1020.14,1007.70,4.08,69.12,15.02,0,Normal
233,16,1017.01,1018.72,1012.43,1022.77,1017.73,1007.14,1.68,68.09,2.50,0,Normal
234,17,1017.84,1028.21,1014.07,1022.99,1020.78,1007.57,4.72,61.92,7.36,0,Normal
235,18,1018.68,1028.23,1012.04,1023.38,1020.58,1008.22,4.53,67.12,0.00,0,Normal
236,19,1019.36,1028.56,1012.87,1023.95,1021.19,1008.97,5.13,59.17,3.63,0,Normal
237,20,1019.91,1030.18,1013.14,1024.78,1022.00,1009.87,5.95,61.96,11.72,0,Normal
238,21,1021.27,1017.36,1014.41,1025.54,1019.64,1010.66,3.59,52.27,0.00,0,Normal
239,22,1020.77,1031.84,1016.96,1025.88,1023.86,1011.17,7.81,46.89,0.00,0,Normal
240,23,1021.73,1032.33,1017.60,1027.45,1024.78,1011.92,8.72,48.30,19.53,0,Normal
241,0,1022.77,1032.50,1017.12,1028.48,1025.22,1013.49,0.00,46.10,0.41,0,Normal
242,1,1025.60,1034.53,1020.20,1029.37,1027.43,1014.81,2.21,48.93,21.68,0,Normal
243,2,1026.35,1034.73,1020.89,1030.89,1028.21,1015.83,3.00,46.70,12.85,0,Normal
244,3,1027.61,1037.10,1021.45,1031.51,1029.42,1016.17,4.20,51.36,15.63,0,Normal
245,4,1026.29,1037.99,1021.51,1031.82,1029.40,1017.13,4.19,50.07,15.89,0,Normal
246,5,1028.50,1037.96,1022.07,1032.97,1030.37,1017.50,5.16,50.35,10.26,0,High Pressure System
247,6,1028.53,1038.89,1022.81,1034.56,1031.20,1018.33,5.98,50.56,5.60,0,High Pressure System
248,7,1028.30,1039.36,1022.49,1033.99,1031.03,1018.43,5.82,53.59,9.62,0,High Pressure System
249,8,1028.74,1040.12,1025.51,1034.73,1032.27,1019.53,7.06,66.29,21.51,0,High Pressure System
250,9,1030.07,1038.81,1024.47,1034.38,1031.93,1019.42,6.71,57.20,14.04,0,High Pressure System
251,10,1028.97,1039.83,1023.78,1034.42,1031.75,1018.99,6.53,66.86,13.79,0,High Pressure System
